,metric,weight,session_id,r,p
35,local_eff,Fintra,V3,-0.09873416467161283,0.6037038397403377
36,local_eff,GFA,V1,0.09791694833147255,0.6067177485972979
37,local_eff,GFA,V2,0.06830194471705847,0.7298345133116884
38,local_eff,GFA,V3,-0.19013890045824197,0.3142228047939095
39,local_eff,ODI,V1,-0.42680452479033476,0.018665326219735365
40,local_eff,ODI,V2,-0.4312832648763607,0.021937881190152483
41,local_eff,ODI,V3,-0.09741243926885983,0.6085815539220276
42,local_eff,PD,V1,0.46886142638149036,0.008961808228560474
43,local_eff,PD,V2,0.27120008638402043,0.16272909701012914
44,local_eff,PD,V3,0.138666870271527,0.46491427879499203
45,local_eff,TD,V1,0.39894510493610286,0.028973653068323897
46,local_eff,TD,V2,0.1145544406870715,0.5616145986133203
47,local_eff,TD,V3,0.12906564486800937,0.4966722226506291
48,characteristic_path,FBC,V1,0.1980675477230658,0.2940848077815994
49,characteristic_path,FBC,V2,0.31464300435625797,0.102943133975933
50,characteristic_path,FBC,V3,0.14056920654001448,0.4587513578156605
51,characteristic_path,FA,V1,0.17267743171016098,0.36151306774890546
52,characteristic_path,FA,V2,-0.06967261129685293,0.7246187152135548
53,characteristic_path,FA,V3,0.1420691443302932,0.4539227671750843
54,characteristic_path,NDI,V1,0.4845724300876846,0.006654014629119992
55,characteristic_path,NDI,V2,0.46259512019738214,0.01318761739566769
56,characteristic_path,NDI,V3,0.33386980997343385,0.0713699817842888
57,characteristic_path,Fintra,V1,0.4845724300876846,0.006654014629119992
58,characteristic_path,Fintra,V2,0.4625951201973821,0.01318761739566769
59,characteristic_path,Fintra,V3,0.3338698099734338,0.0713699817842888
60,characteristic_path,GFA,V1,-0.008885849643919252,0.9628299921314953
61,characteristic_path,GFA,V2,-0.05616188425819138,0.7765210304998631
62,characteristic_path,GFA,V3,0.17031457720484658,0.3682202322637935
63,characteristic_path,ODI,V1,0.40879290292021475,0.02490107324107098
64,characteristic_path,ODI,V2,0.39252756680739487,0.03881722769493117
65,characteristic_path,ODI,V3,0.17782931885719797,0.3471422252924608
66,characteristic_path,PD,V1,-0.48450819510344595,0.0066623062803630225
67,characteristic_path,PD,V2,-0.31795784822177514,0.09917291503867218
68,characteristic_path,PD,V3,-0.1464530393389472,0.43996675897265597
69,characteristic_path,TD,V1,-0.3904662151950818,0.032899721897608356
70,characteristic_path,TD,V2,-0.2068978050198919,0.2907993233714963
71,characteristic_path,TD,V3,-0.17813039231736058,0.34631317867820177
72,clust_coeff,FBC,V1,0.2199431401135324,0.2428638498602818
73,clust_coeff,FBC,V2,0.1736703452975723,0.3767921374799796
74,clust_coeff,FBC,V3,0.131154378447378,0.48967171059028114
75,clust_coeff,FA,V1,0.2628732069695204,0.16047956460780563
76,clust_coeff,FA,V2,-0.044732650061843834,0.8211827488786207
77,clust_coeff,FA,V3,0.13209043915554416,0.48655082425138896
78,clust_coeff,NDI,V1,0.15211824594506876,0.42228181464631515
79,clust_coeff,NDI,V2,0.14003077205128495,0.47726756158416345
80,clust_coeff,NDI,V3,0.3265527218002124,0.0781964379135994
81,clust_coeff,Fintra,V1,0.15211824594506856,0.4222818146463156
82,clust_coeff,Fintra,V2,0.140030772051285,0.47726756158416345
83,clust_coeff,Fintra,V3,0.3265527218002125,0.0781964379135994
84,clust_coeff,GFA,V1,0.1754305210031487,0.35379020806534445
85,clust_coeff,GFA,V2,-0.12620608620150928,0.5222121123369841
86,clust_coeff,GFA,V3,0.12015636714153619,0.5270884638542215
87,clust_coeff,ODI,V1,-0.07628883097397147,0.6886551547193225
88,clust_coeff,ODI,V2,-0.07919416814035479,0.6887289031108916
89,clust_coeff,ODI,V3,0.32417100516059194,0.08052349751446983
90,clust_coeff,PD,V1,0.2322146746196766,0.21690058228103182
91,clust_coeff,PD,V2,0.10319716182478507,0.6012732677220901
92,clust_coeff,PD,V3,0.23291143099320025,0.2154854489859454
93,clust_coeff,TD,V1,-0.18069481852964592,0.3393000837589211
94,clust_coeff,TD,V2,-0.19693193663327874,0.3151684074303726
95,clust_coeff,TD,V3,0.049800323609581296,0.7938308547313738
