,metric,weight,session_id,r,p
84,clust_coeff,GFA,V1,0.11910091947888198,0.5383155221519428
85,clust_coeff,GFA,V2,-0.10302588323747396,0.6090913226867114
86,clust_coeff,GFA,V3,0.05681830036495321,0.7697106852057755
87,clust_coeff,ODI,V1,-0.06191015284616415,0.749698175771368
88,clust_coeff,ODI,V2,-0.037390431553419236,0.8531055762119627
89,clust_coeff,ODI,V3,0.2803101682128813,0.14079691017275925
90,clust_coeff,PD,V1,0.15745927997433845,0.4146415886055268
91,clust_coeff,PD,V2,0.07757265386746162,0.7005437687435265
92,clust_coeff,PD,V3,0.20236759651138952,0.29243812943814534
93,clust_coeff,TD,V1,-0.22424900849326107,0.24221596013948812
94,clust_coeff,TD,V2,-0.18272075663288995,0.36164691143364563
95,clust_coeff,TD,V3,-0.013042767935841408,0.9464618175064233
