,metric,weight,session_id,r,p
84,clust_coeff,GFA,V1,0.003590523395593598,0.9849763391694908
85,clust_coeff,GFA,V2,-0.1330219391900636,0.4998010314829315
86,clust_coeff,GFA,V3,-0.04286394726101778,0.8220549914280826
87,clust_coeff,ODI,V1,0.07115794398199725,0.7086562763471305
88,clust_coeff,ODI,V2,0.2220524989868536,0.25609463900592044
89,clust_coeff,ODI,V3,0.31414217363830105,0.09090953714811012
90,clust_coeff,PD,V1,0.004128715809631752,0.982724716554318
91,clust_coeff,PD,V2,0.07101484382382561,0.7195227438376861
92,clust_coeff,PD,V3,0.19172217946222264,0.310134542629958
93,clust_coeff,TD,V1,-0.09048143270106813,0.6344261183066274
94,clust_coeff,TD,V2,-0.014225688339839303,0.9427238676455256
95,clust_coeff,TD,V3,0.11901182247878982,0.531059962378758
